,Info.Title,Info.description,Info.version,Info.contact.name,Info.contact.url,QueryName,TimeTaken(s),Date/Time,Date/TimeConverted,IPA#,Query#,QueryName(shortened)
2,AIRR Data Commons API,API response for repertoire query,1.3,AIRR Community,https://github.com/airr-community,/home/ubuntu/ireceptor-monitor/ADC_API_Testing/JSON/repertoire_selected_queries/pass-field-pcr_target_locus.json,0.25008249282836914,2021-04-13 14:30:14.157636,2021-04-13 07:30:14.157636-07:00,airr-seq,2.0,pass-field-pcr_target_locus.json
3,AIRR Data Commons API,API response for repertoire query,1.3,AIRR Community,https://github.com/airr-community,/home/ubuntu/ireceptor-monitor/ADC_API_Testing/JSON/repertoire_selected_queries/pass-field-age-range.json,0.25692272186279297,2021-04-13 14:30:14.430808,2021-04-13 07:30:14.430808-07:00,airr-seq,3.0,pass-field-age-range.json
4,AIRR Data Commons API,API response for repertoire query,1.3,AIRR Community,https://github.com/airr-community,/home/ubuntu/ireceptor-monitor/ADC_API_Testing/JSON/repertoire_selected_queries/pass-query2_repertoire.json,0.2356412410736084,2021-04-13 14:30:14.674446,2021-04-13 07:30:14.674446-07:00,airr-seq,4.0,pass-query2_repertoire.json
0,AIRR Data Commons API,API response for repertoire query,1.3,AIRR Community,https://github.com/airr-community,/home/ubuntu/ireceptor-monitor/ADC_API_Testing/JSON/repertoire_selected_queries/pass-all.json,0.25612235069274897,2021-04-13 18:30:13.171346,2021-04-13 11:30:13.171346-07:00,airr-seq,0.0,pass-all.json
1,AIRR Data Commons API,API response for repertoire query,1.3,AIRR Community,https://github.com/airr-community,/home/ubuntu/ireceptor-monitor/ADC_API_Testing/JSON/repertoire_selected_queries/pass-field-organism-id.json,0.27089715003967285,2021-04-13 18:30:13.481743,2021-04-13 11:30:13.481743-07:00,airr-seq,1.0,pass-field-organism-id.json
2,AIRR Data Commons API,API response for repertoire query,1.3,AIRR Community,https://github.com/airr-community,/home/ubuntu/ireceptor-monitor/ADC_API_Testing/JSON/repertoire_selected_queries/pass-field-pcr_target_locus.json,0.2410728931427002,2021-04-13 18:30:13.733202,2021-04-13 11:30:13.733202-07:00,airr-seq,2.0,pass-field-pcr_target_locus.json
3,AIRR Data Commons API,API response for repertoire query,1.3,AIRR Community,https://github.com/airr-community,/home/ubuntu/ireceptor-monitor/ADC_API_Testing/JSON/repertoire_selected_queries/pass-field-age-range.json,0.2547593116760254,2021-04-13 18:30:14.003845,2021-04-13 11:30:14.003845-07:00,airr-seq,3.0,pass-field-age-range.json
4,AIRR Data Commons API,API response for repertoire query,1.3,AIRR Community,https://github.com/airr-community,/home/ubuntu/ireceptor-monitor/ADC_API_Testing/JSON/repertoire_selected_queries/pass-query2_repertoire.json,0.2351787090301513,2021-04-13 18:30:14.246268,2021-04-13 11:30:14.246268-07:00,airr-seq,4.0,pass-query2_repertoire.json
0,AIRR Data Commons API,API response for repertoire query,1.3,AIRR Community,https://github.com/airr-community,/home/ubuntu/ireceptor-monitor/ADC_API_Testing/JSON/repertoire_selected_queries/pass-all.json,0.2890284061431885,2021-04-13 22:30:13.115432,2021-04-13 15:30:13.115432-07:00,airr-seq,0.0,pass-all.json
1,AIRR Data Commons API,API response for repertoire query,1.3,AIRR Community,https://github.com/airr-community,/home/ubuntu/ireceptor-monitor/ADC_API_Testing/JSON/repertoire_selected_queries/pass-field-organism-id.json,0.2540237903594971,2021-04-13 22:30:13.399807,2021-04-13 15:30:13.399807-07:00,airr-seq,1.0,pass-field-organism-id.json
